loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'eval_loss': 6.847111225128174, 'eval_map': 0.0, 'eval_map_50': 0.0001, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0, 'eval_mar_1': 0.002, 'eval_mar_10': 0.0024, 'eval_mar_100': 0.0024, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0, 'eval_mar_large': 0.0027, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0001, 'eval_mar_100_Gloves': 0.0118, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.3716, 'eval_samples_per_second': 20.077, 'eval_steps_per_second': 2.577, 'epoch': 5.0}
{'loss': 3.6819, 'grad_norm': 12.457077026367188, 'learning_rate': 0.0009937266050221015, 'epoch': 5.05}
{'loss': 3.296, 'grad_norm': 5.185440540313721, 'learning_rate': 0.0009934881598487478, 'epoch': 5.14}
{'loss': 3.0834, 'grad_norm': 9.892221450805664, 'learning_rate': 0.0009932452969617608, 'epoch': 5.24}
{'loss': 3.2845, 'grad_norm': 9.530411720275879, 'learning_rate': 0.0009929980185352525, 'epoch': 5.33}
{'loss': 3.2369, 'grad_norm': 9.432621002197266, 'learning_rate': 0.0009927463267828634, 'epoch': 5.43}
{'loss': 2.9421, 'grad_norm': 13.342495918273926, 'learning_rate': 0.0009924902239577418, 'epoch': 5.52}
{'loss': 3.1308, 'grad_norm': 10.757770538330078, 'learning_rate': 0.0009922297123525243, 'epoch': 5.62}
{'loss': 3.0769, 'grad_norm': 21.188255310058594, 'learning_rate': 0.0009919647942993148, 'epoch': 5.71}
{'loss': 3.1565, 'grad_norm': 15.835500717163086, 'learning_rate': 0.0009916954721696637, 'epoch': 5.81}
{'loss': 2.978, 'grad_norm': 12.65631103515625, 'learning_rate': 0.0009914217483745472, 'epoch': 5.9}
{'loss': 3.3526, 'grad_norm': 15.883238792419434, 'learning_rate': 0.0009911436253643444, 'epoch': 6.0}
